composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Adam,2.5864,2.8867,29.4286,4/4 ,1852,1.06227
Albéniz,1.85656,2.54926,48.2258,3/4 ,1889,1.61433
Albéniz,2.46287,2.89138,15.4082,6/8 ,1886,0.811278
Albéniz,3.09665,2.38273,21.5873,3/4 ,1896,0.764205
Albéniz,2.20969,2.55218,38.0952,3/4 ,1896,0.836641
Albéniz,2.59179,2.97494,66.0513,3/4 ,1886,2.47291
Albéniz,2.23892,2.14926,62.2857,3/4 ,1906,2.18872
Albéniz,2.62661,2.81411,23.3333,2/4 ,,0
Albéniz
Espa&ntilde;!!!COM,2.45282,2.5,80.572,4/4 ,,1.79248
Albéniz,2.58842,2.59771,57.619,3/4 ,1906,0.543564
Albéniz,2.03996,2.75489,71.7778,3/4 ,1906,1.45385
Adam,2.92769,2.90727,33.7778,3/4 ,1852,0.774243
Albéniz,2.73256,2.56262,20.8333,3/8 ,1907,0.930586
Albéniz,2.63703,2.85429,42.1164,3/4 ,1908,0.591673
Albéniz,2.39232,2.8559,66.6667,3/4 ,1908,1.73604
Albéniz,1.92994,2.75444,26.6667,3/4 ,1896,0.811278
Albéniz,2.28448,2.89185,43.3333,3/4 ,1896,1.23664
Albéniz,2.77094,2.61058,33.6202,2/4 ,1890,1.72957
Albéniz,3.06805,2.80578,39.6825,2/4 ,1890,0
Albéniz,2.88114,2.76335,21.7787,2/4 ,1890,1.32748
Albéniz,2.35077,3.09944,24.708,2/4 ,1890,0.953014
Albéniz,2.80004,2.76031,74.0537,2/4 ,1889,0
Adam,2.98972,2.89721,22.4561,3/4 ,1852,0.439497
Alfv&eacute;n,3.32645,2.84391,46.8168,2/4 ,,1.32501
Alfv&eacute;n,2.11009,2.49621,22.2222,2/4 ,,0.899744
Alfv&eacute;n,2.53661,2.66013,30.6699,2/4 ,,1.85429
Alfv&eacute;n,2.38579,2.59548,37.8836,2/4 ,,0.997503
Arensky,2.52663,2.80433,0,4/4 ,,0
Arensky,3.14586,3.15075,40.6645,4/4 ,,1.13131
Arensky,2.78418,2.34145,71.2814,3/4 ,,2.05459
Arensky,2.75392,2.56344,81.465,3/4 ,,2.12809
Arensky,3.14341,2.84712,49.8,4/4 ,,1.48008
Arensky,2.9206,2.92585,22.7778,4/4 ,,0.749595
Adam,2.96933,2.82795,46.8637,3/4 ,1852,1.33468
Arensky,2.83871,2.95101,40.865,3/4 ,,1.73366
Arensky,2.43056,2.55468,30.5556,3/4 ,,1.26381
Arensky,2.55171,2.69701,76.9931,4/4 ,,1.7081
Arensky,3.04489,2.51249,68.9351,4/4 ,,2.49492
Arensky,2.80459,2.63201,123.976,3/4 ,,2.31346
Arensky,2.68042,2.69334,36.83,3/4 ,,2.0647
Atterbert,2.92769,2.95915,80.6638,4/4 ,,2.32996
Atterbert,2.85812,2.71533,69.6581,4/4 ,,1.32446
Atterbert,2.92193,2.77095,39.2157,4/4 ,,1.29974
Atterbert,2.7499,2.8065,96.9748,3/4 ,,1.9183
Adam,2.59233,2.73995,63.0075,2/4 ,1852,1.30403
Atterbert,2.86974,2.62473,40.6349,3/4 ,,1.42379
Atterbert,1.99723,2.29381,98.75,2/2 ,,1.94401
Atterbert,2.13744,3.00972,15.1515,2/2 ,,0.965636
Auber,2.98709,3.08233,42.5641,2/2 ,1835,0.834347
Auber,2.70114,2.77584,20,2/4 ,1835,1.02706
Auber,2.84807,2.95381,39.2157,6/8 ,1835,0
Auber,2.19427,2.089,20.5128,3/4 ,1835,0.970951
Auber,2.76067,2.94639,39.1837,3/4 ,1837,1.14007
Auber,3.19196,2.97803,41.7391,3/4 ,1837,1.21834
Auber,2.64,2.8124,51.6667,3/8 ,1837,0.999142
Adam,2.76173,2.85367,35.0877,4/4 ,1852,0.558629
Auber,2.94786,2.73571,112.456,4/4 ,1830,2.03996
Auber,2.44398,2.82747,18.8125,6/8 ,1830,1.11965
Auber,2.72323,2.87291,60.3509,6/8 ,1830,1.2389
Auber,2.67906,2.9569,50.8471,4/4 ,1828,2.22752
Auber,2.56489,3.04888,92.8587,4/4 ,1828,1.89404
Aubert,2.3719,2.41383,47.9771,2/4 ,1907,1.44882
Aubert,2.43899,2.43159,79.2533,2/4 ,1907,1.46184
Aubert,2.94928,3.0107,38.8235,3/4 ,,1.78548
Aubert,2.24609,2.83731,0,3/4 ,,0
Aubert,2.10337,2.31851,33.8102,2/4 ,,1.66925
Adam,2.60529,2.45714,35.8974,2/4 ,1852,0.558629
Aubert,3.02972,3.06921,48.4762,3/4 ,,1.44475
Aubert,2.32136,2.16325,18.3333,3/4 ,,0.558629
Aubert,2.71484,2.97848,16.6667,3/4 ,,0.485461
Auric,2.40242,2.53096,26,2/4 ,1924,1.14332
Auric,2.66396,3.05077,68.1481,2/4 ,1924,1.71078
Auric,3.01366,2.54928,58.0159,2/4 ,1924,1.08631
Auric,3.04489,3.15908,41.7792,2/4 ,1924,1.23322
Auric,2.37043,2.53863,48.5185,4/4 ,1924,0
Auric,2.60997,2.29193,17.0833,2/4 ,1924,0
Auric,2.56,2.56161,72.8571,3/4 ,1924,1.89106
Adam,2.866,2.63685,12.3457,2/4 ,1852,0.458686
Auric,3.53194,3.23195,30.1587,2/4 ,1924,0.965636
Auric,2.39759,2.71452,47.0085,2/4 ,1924,0.996792
Auric,2.03202,2.99917,49.5652,12/8 ,1924,0.970951
Auric,2.81104,2.60694,59.0476,12/8 ,1924,1.79902
Auric,1.82823,2.61006,49.6296,2/4 ,1924,1.37095
Albéniz,2.73451,2.87951,53.6131,3/4 ,1889,1.8716
Bach,2.85035,2.53369,55.4144,2/4 ,1770,1.91969
Bach,2.70872,2.89373,76.3194,4/4 ,1772,1.58496
Bach,2.47246,2.93565,0,3/4 ,1710,0
Beethoven,1.80164,2.17136,86.0317,2/4 ,1811,1.85429
Beethoven,2.52964,2.41642,104.444,2/4 ,1811,1.12386
Beethoven,2.98832,2.86309,32.1088,3/4 ,1812,1.08631
Beethoven,3.16893,2.81376,90.6212,3/4 ,1812,2.18924
Beethoven,2.70363,2.5942,29.6296,3/4 ,1812,0.530406
Beethoven,2.52323,2.47291,87.7922,3/4 ,1812,1.58496
Beethoven,1.95133,2.80575,66.6667,3/4 ,1812,0.996792
Beethoven,2.70356,3.01514,50.887,2/4 ,1812,1.45742
Beethoven,2.59358,2.77989,32.3413,2/4 ,1812,1.29131
Beethoven,2.84644,2.60869,29.0196,2/4 ,1812,1.50027
Bach,2.10765,2.59582,66.7967,3/4 ,1741,2.40734
Beethoven,3.21947,3.35327,11.4815,3/4 ,1812,0.548954
Beethoven,2.43707,2.82585,48.5714,3/4 ,1812,1.45656
Beethoven,2.29196,2.02315,27.4369,2/2 ,1812,1.50124
Beethoven,2.73333,3.20899,24.8889,2/2 ,1812,0.764205
