composer,nationality,key,year,info,npvi,meter
Adam,French,b-e-,1852,109.735,29.4286,4/4
Albéniz,Spanish,f#c#g#d#,1889,48.6034,48.2258,3/4
Albéniz,Spanish,b-e-a-,1886,62.446,15.4082,6/8
Albéniz,Spanish,f#c#g#d#a#e#,1896,96.4607,21.5873,3/4
Albéniz,Spanish,f#c#g#d#a#e#,1896,59.5489,38.0952,3/4
Albéniz,Spanish,f#,1886,68.3038,66.0513,3/4
Albéniz,Spanish,b-e-a-d-g-c-f-,1906,49.8485,62.2857,3/4
Albéniz
Albéniz,Spanish,f#c#g#,1906,83.9468,57.619,3/4
Albéniz,Spanish,f#c#g#,1906,104.872,71.7778,3/4
Adam,French,b-e-,1852,88.0391,33.7778,3/4
Albéniz,Spanish,b-e-a-d-,1907,102.319,20.8333,3/8
Albéniz,Spanish,b-e-a-d-g-,1908,75.4838,66.6667,3/4
Albéniz,Spanish,b-,1896,76.5977,26.6667,3/4
Albéniz,Spanish,b-,1896,72.7289,43.3333,3/4
Albéniz,Spanish,f#,1890,98.6059,33.6202,2/4
Albéniz,Spanish,f#c#g#d#,1890,134.465,39.6825,2/4
Albéniz,Spanish,b-e-a-,1890,102.561,21.7787,2/4
Albéniz,Spanish,b-e-a-,1890,80.0419,24.708,2/4
Albéniz,Spanish,f#c#,1889,71.2008,74.0537,2/4
Adam,French,b-e-a-,1852,94.6318,22.4561,3/4
Adam,French,b-e-a-,1852,107.23,46.8637,3/4
Adam,French,b-e-a-,1852,138.627,63.0075,2/4
Auber,French,b-e-a-,1835,73.4838,42.5641,2/2
Auber,French,b-e-,1835,110.026,20,2/4
Auber,French,b-e-a-,1835,82.5077,39.2157,6/8
Auber,French,b-e-a-d-,1835,49.101,20.5128,3/4
Auber,French,b-e-a-d-,1837,77.4838,39.1837,3/4
Auber,French,b-,1837,144.956,51.6667,3/8
Adam,French,b-e-a-,1852,93.8469,35.0877,4/4
Auber,French,f#c#,1830,115.432,112.456,4/4
Auber,French,f#c#,1830,119.694,18.8125,6/8
Auber,French,f#c#,1830,95.6969,60.3509,6/8
Auber,French,b-e-,1828,123.97,50.8471,4/4
Auber,French,f#c#,1828,95.7319,92.8587,4/4
Aubert,French,b-e-,1907,63.0587,47.9771,2/4
Aubert,French,b-e-,1907,84.7723,79.2533,2/4
Auric,French,f#c#g#d#a#,1924,75.4565,26,2/4
Auric,French,f#c#g#d#a#,1924,86.4323,68.1481,2/4
Auric,French,f#c#g#d#a#,1924,90.0964,58.0159,2/4
Auric,French,f#c#g#d#a#,1924,98.4868,41.7792,2/4
Auric,French,f#,1924,103.662,48.5185,4/4
Auric,French,f#c#g#d#,1924,89.5563,17.0833,2/4
Auric,French,b-e-a-d-g-,1924,84.2114,72.8571,3/4
Auric,French,f#c#g#d#a#,1924,104.382,30.1587,2/4
Auric,French,f#c#g#d#a#,1924,114.616,47.0085,2/4
Auric,French,f#,1924,93.5864,49.5652,12/8
Auric,French,f#,1924,79.3526,59.0476,12/8
Auric,French,f#,1924,59.2008,49.6296,2/4
Albéniz,Spanish,b-e-a-d-g-,1889,68.7106,53.6131,3/4
Beethoven,German,f#c#g#,1811,57.449,86.0317,2/4
Beethoven,German,f#c#g#,1811,100.07,104.444,2/4
Beethoven,German,b-,1812,82.4979,32.1088,3/4
Beethoven,German,b-,1812,101.168,90.6212,3/4
Beethoven,German,b-,1812,98.5077,29.6296,3/4
Beethoven,German,b-,1812,47.8485,87.7922,3/4
Beethoven,German,b-,1812,72.0419,66.6667,3/4
Beethoven,German,b-e-,1812,82.5977,50.887,2/4
Beethoven,German,b-e-,1812,124.881,32.3413,2/4
Beethoven,German,b-e-,1812,82.4386,29.0196,2/4
Bach,German,f#,1741,152.855,66.7967,3/4
Beethoven,German,b-,1812,104.096,11.4815,3/4
Beethoven,German,b-,1812,66.7106,48.5714,3/4
Beethoven,German,b-,1812,113.315,27.4369,2/2
Beethoven,German,b-,1812,76.5977,24.8889,2/2
Beethoven,German,b-,1812,53.5489,29.1005,2/2
Beethoven,German,b-,1812,104.702,53.3333,2/2
Beethoven,German,b-,1822,98.4295,83.7094,2/4
Beethoven,German,b-,1822,104.487,54.1353,2/4
Beethoven,German,b-e-,1822,41.6933,87.5,2/4
Beethoven,German,b-e-,1822,88.4323,74.963,2/4
Beethoven,German,b-,1822,92.4518,7.93651,3/4
Beethoven,German,b-,1822,110.916,71.3725,3/4
Beethoven,German,f#c#,1822,57.2008,48.2857,2/2
Beethoven,German,f#c#,1822,64.7106,0,2/2
Beethoven,German,b-e-,1822,69.101,49.0476,4/4
Beethoven,German,f#c#,1822,110.211,36.5079,3/4
Beethoven,German,b-,1822,103.762,6.06061,3/4
Beethoven,German,f#c#,1822,55.449,38.3333,4/4
Beethoven,German,f#,1822,76.456,51.5152,3/2
Beethoven,German,f#c#,1822,48,46,2/2
Bach,German,b-e-a-,1723,87.3526,3.50877,4/4
Beethoven,German,f#c#,1822,73.743,0,2/2
Beethoven,German,b-e-,1797,45.303,15.5556,4/4
Beethoven,German,b-e-a-,1797,61.9557,114.49,3/4
Beethoven,German,b-e-,1797,122.606,52.987,4/4
Beethoven,German,b-e-a-,1794,66.456,74.6667,3/4
Beethoven,German,b-e-a-,1794,77.7744,27.7778,3/4
Beethoven,German,b-e-a-,1794,106.602,6.66667,3/4
Beethoven,German,b-e-a-,1794,48.6034,14.8148,2/4
Beethoven,German,b-e-a-,1794,73.4838,30.2222,3/4
Bach,German,f#c#,1723,94.5866,21,3/8
Beethoven,German,b-e-a-,1794,55.101,15.3846,2/2
Beethoven,German,b-e-a-,1794,71.7011,53.2653,2/2
Beethoven,German,f#c#,1808,92.0391,10.5263,3/4
Beethoven,German,f#c#,1808,28.4644,31.1111,3/4
Beethoven,German,b-,1808,78.8226,96.5001,2/4
Beethoven,German,f#c#,1808,70.074,18.0952,4/4
Beethoven,German,b-e-,1810,64.7289,53.3333,4/4
Beethoven,German,f#,1810,102.341,16.8116,4/4
Beethoven,German,b-e-,1810,50.3904,42,3/4
Beethoven,German,b-e-a-d-g-,1810,106.127,23.5294,3/4
Bach,German,b-,1723,86.4323,3.92157,3/8
Beethoven,German,b-e-a-d-g-,1810,68.629,28.8889,3/4
Beethoven,German,f#c#,1810,54.732,45.5556,3/4
Beethoven,German,b-e-,1810,70.2387,76.4318,2/4
Beethoven,German,b-e-,1797,112.382,15.1515,6/8
Beethoven,German,b-e-,1797,100.039,61.1765,6/8
Beethoven,German,f#c#,1809,72.9881,12.5,2/4
Beethoven,German,f#,1795,63.0587,70,6/8
Beethoven,German,b-e-a-,1806,85.3526,79.1144,3/4
Bach,German,b-e-a-,1723,62.732,43.0159,4/4
Bach,German,f#c#g#d#,1723,112.772,30.8772,3/8
Berlioz,French,b-e-a-d-,1844,97.7319,40.4167,4/4
Berlioz,French,b-e-a-d-,1826,80.4323,120.635,4/4
Berlioz,French,b-e-a-d-,1826,61.101,62.9365,4/4
