Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	modulation_pathway	Modulation_Measures	One_Mode	Mode notes
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski001.krn">1</a>	    Dobriden	G minor	listening	Gurevich	recording	Voice	Odessa	1930	Bobruisk			D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski002.krn">2</a>	    Dobriden	G freygish	listening	"Bergelson, D."	transcription (Beregovski)	-	Kyiv	1937	Uman'			-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski003.krn">3</a>	    Dobriden	G freygish	listening	"Barkagan, G."	transcription (Barkagan)	Clarinet	Kalinindorf	1936	-			-		C minor (iv); G minor	9–12	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski004.krn">4</a>	    Dobranotsch	G freygish	listening	"Sakhnovsky, B."	manuscript notation	Violin	-	-	-			E	Down m3	C major (IV); G freygish (I)	17–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski005.krn">5</a>	    Dobriden	G minor	listening	"Barkagan, G"	transcription (Barkagan)	Clarinet	Kalinindorf	-	-			E	Down m3		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski006.krn">6</a>	    Dobranotsh	G minor	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	C	Down P5	Bb major (III); G minor	18–26	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski007.krn">7</a>	    Dobranotsh	G minor	listening	"Sakhonsky, B."	manuscript notation	Violin	Kalinindorf	-	-			G	-	"C freygish (IV), G minor (i), Bb major (III), G minor (i), Bb major (III); G minor (i)"	"9–12; 13–16, 17–20; 21–24; 25–44"	no	"I identify the cadences on C in the opening eight bars and temporary stopping points, not full arrivals. There are ambiguities and other possible readings."
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski008.krn">8</a>	    Mazltov (Dobranotsh)	G minor	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-			G	-	Bb major (III); G minor (i)	18–30	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski010.krn">10</a>	    Dobranotsh (mazltov)	G raised fourth	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski011.krn">11</a>	    Dobranotsh	G minor	listening	Anonymous	transcription	-	-	-	-	-	-	A	Up M2	Bb major (III); C minor (iv); Bb major (III); C freygish (IV); G minor (i); Bb major (III); C freygish (IV); G minor (i)	9–16; 17–20; 21–24; 25–28; 29–33; 34–41; 42–45	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski012.krn">12</a>	    Dobridyen'	G freygish	listening	"Barkagan, G"	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	C minor (iv); G freygish (I); C minor (iv); G fregyish (I)	1–12; 13–16; 17–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski015.krn">15</a>	    Freylekhs (tsu der khupe)	G freygish	listening	"Slobodskoi, M."	recording	Clarinet	"Brusilov, Kyiv"	1935		Kyiv	Brusilov	C	Up P4	C major (IV); G freygish (I)	37–54	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski016.krn">16</a>	    Freylekhs (fun der khupe)	G minor	listening	"Barkagan, G"	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-		All minor	yes	Measures 17–24 could be heard in Bb major (III). We analyzed them with the rest of the section in G minor (criteria 1 and 3). 
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski019.krn">19</a>	    Khtsos	G minor	listening	Anonymous	transcription	Violin	-	-	-	-	-	F#	Down m2	Bb major (III); G minor (i); Bb major (III); G minor (i)	36–43; 44–47; 48–51	no	"This is only the latter section of the piece with a 2/4 time signature. The opening is in ""Tempo rubato"" with frequent fermatas."
