"","pitches","durations"
"1","G4",0.5
"2","B4",1
"3","C5",1
"4","D5",0.25
"5","Eb5",0.25
"6","C5",0.5
"7","D5",2
"8","B4",0.25
"9","G4",0.75
"10","Eb5",0.25
"11","C5",0.75
"12","D5",0.25
"13","B4",0.75
"14","C5",0.25
"15","B4",0.25
"16","Ab4",0.5
"17","B4",2
"18","Ab4",0.5
"19","G4",0.5
"20","B4",1
"21","C5",1
"22","D5",0.25
"23","Eb5",0.25
"24","C5",0.5
"25","D5",1.5
"26","B4",0.5
"27","C5",0.75
"28","B4",0.25
"29","F4",0.5
"30","C4",0.5
"31","F4",0.5
"32","Ab4",0.5
"33","C5",0.333
"34","B4",0.333
"35","Ab4",0.333
"36","G4",3
"37","F5",0.5
"38","G5",0.5
"39","F5",0.5
"40","G5",0.5
"41","F5",0.25
"42","Eb5",0.75
"43","D5",0.5
"44","Eb5",0.5
"45","D5",0.5
"46","Eb5",0.5
"47","D5",0.5
"48","C5",0.5
"49","B4",0.5
"50","C5",0.5
"51","D5",0.5
"52","Eb5",0.5
"53","G5",0.5
"54","Eb5",0.5
"55","D5",2
"56","B4",0.5
"57","G4",0.5
"58","C5",0.5
"59","G4",0.5
"60","B4",0.5
"61","G4",0.5
"62","Ab4",0.333
"63","G4",0.333
"64","F4",0.333
"65","G4",1
"66","B4",1
"67","D5",1
"68","F4",0.5
"69","C4",0.5
"70","F4",0.5
"71","Ab4",0.5
"72","C5",0.333
"73","B4",0.333
"74","Ab4",0.333
"75","G4",3
"76","G4",1
"77","B4",1
"78","D5",0
"79","C5",1
"80","D5",0.333
"81","Eb5",0.333
"82","C5",0.333
"83","D5",2
"84","B4",0.5
"85","G4",0.5
"86","Eb5",0.5
"87","C5",0.5
"88","D5",0.5
"89","B4",0.5
"90","C5",0.5
"91","Ab4",0.5
"92","B4",2
"93","G4",1
"94","B4",1
"95","D5",0
"96","C5",1
"97","D5",0.333
"98","Eb5",0.333
"99","C5",0.333
"100","D5",2
"101","B4",0.5
"102","G4",0.5
"103","F4",0.5
"104","C4",0.5
"105","F4",0.5
"106","Ab4",0.5
"107","C5",0.333
"108","B4",0.333
"109","Ab4",0.333
"110","G4",3
"111","G5",0.5
"112","Ab5",0.5
"113","G5",0.5
"114","Ab5",0.5
"115","G5",0.5
"116","F5",0.5
"117","Eb5",0.5
"118","F5",0.5
"119","Eb5",0.5
"120","F5",0.5
"121","Eb5",0.5
"122","D5",0.5
"123","C5",0.5
"124","D5",0.5
"125","Eb5",0.5
"126","C5",0.5
"127","G5",0.333
"128","F#5",0.333
"129","Eb5",0.333
"130","D5",2
"131","C5",1
"132","B5",0.5
"133","C6",0.5
"134","C6",0.5
"135","B5",0.5
"136","Ab5",0.5
"137","G5",0.5
"138","Ab5",0.5
"139","B5",0.5
"140","Ab5",0.5
"141","G5",0.5
"142","F5",0.5
"143","F5",1
"144","G5",0
"145","F5",1
"146","G5",0
"147","F5",1
"148","F5",2
"149","C5",1
"150","C5",0.5
"151","F5",0.5
"152","E5",0.5
"153","F5",0.5
"154","G5",0.5
"155","Ab5",0.5
"156","B5",1.5
"157","G5",0.5
"158","Ab5",0.5
"159","F5",0.5
"160","G5",1
"161","G5",1
"162","G5",1
"163","G5",3
"164","G4",1
"165","G5",1
"166","F5",0.5
"167","Eb5",0.5
"168","D5",1
"169","Eb5",1
"170","D5",0.5
"171","C5",0.5
"172","B4",1
"173","C5",1
"174","B4",0.5
"175","Ab4",0.5
"176","G4",3
"177","G4",1
"178","G5",1
"179","F5",0.5
"180","Eb5",0.5
"181","D5",1
"182","Eb5",1
"183","F5",0.5
"184","G5",0.5
"185","D5",3
"186","G5",3
"187","G4",1
"188","G5",1
"189","F5",0.5
"190","Eb5",0.5
"191","D5",1
"192","Eb5",1
"193","D5",0.5
"194","C5",0.5
"195","B4",1
"196","C5",1
"197","B4",0.5
"198","Ab4",0.5
"199","G4",3
"200","D5",1
"201","C5",1
"202","B4",1
"203","B4",1
"204","F4",1
"205","G4",0.5
"206","Ab4",0.5
"207","G4",1
"208","Ab4",0
"209","G4",1
"210","Ab4",0
"211","G4",1
"212","G4",3
"213","F5",1.5
"214","E5",0.5
"215","F5",0.5
"216","G5",0.5
"217","F5",0.5
"218","F5",0.5
"219","Eb5",1
"220","D5",0.5
