"","bigram","n"
"1","C5_B4",604
"2","D5_C5",535
"3","Ab4_G4",501
"4","B4_Ab4",441
"5","Eb5_D5",346
"6","B4_C5",339
"7","G4_G4",331
"8","C5_D5",288
"9","G4_Ab4",228
"10","G4_B4",194
"11","G4_F4",192
"12","Ab4_B4",174
"13","D5_Eb5",170
"14","F5_Eb5",165
"15","F4_G4",163
"16","B4_D5",154
"17","B4_B4",139
"18","C5_C5",131
"19","D5_D5",129
"20","B4_G4",119
"21","G4_C5",85
"22","G4_G5",82
"23","G5_F5",78
"24","G5_G5",77
"25","Ab4_Ab4",71
"26","D5_B4",71
"27","G4_D5",70
"28","F4_F4",64
"29","D5_G5",58
"30","Eb5_F5",53
"31","E4_F4",52
"32","C5_Eb5",51
"33","D5_G4",49
"34","F4_E4",47
"35","G5_G4",47
"36","Eb5_Eb5",45
"37","F4_Ab4",42
"38","F5_G5",41
"39","D5_F5",40
"40","G5_D5",40
"41","G4_Eb5",37
"42","Ab4_C5",36
"43","Ab5_G5",35
"44","F5_F5",29
"45","Ab4_F4",27
"46","C5_Ab4",27
"47","C5_F5",26
"48","Eb5_C5",26
"49","G5_Ab5",26
"50","C5_G4",22
"51","F#5_G5",21
"52","C5_F4",20
"53","G5_F#5",19
"54","F4_B4",17
"55","B4_F4",16
"56","F4_C5",16
"57","G5_B4",15
"58","G4_G3",13
"59","F4_F5",12
"60","Ab4_D5",11
"61","C4_F4",11
"62","D4_G4",11
"63","F4_C4",11
"64","G3_G4",10
"65","G4_D4",9
"66","F#5_Eb5",8
"67","F4_A4",8
"68","F5_D5",8
"69","G4_F5",8
"70","G5_Ab4",8
"71","G5_Eb5",8
"72","C5_G5",7
"73","D4_D4",7
"74","Eb5_G5",7
"75","F4_D5",7
"76","F5_E5",7
"77","G5_C5",7
"78","Eb5_F#5",6
"79","Eb5_G4",6
"80","A4_C5",5
"81","A5_G5",5
"82","D5_F#5",5
"83","F5_Ab5",5
"84","F5_C5",5
"85","A4_F4",4
"86","Ab5_F5",4
"87","C5_A4",4
"88","E5_F5",4
"89","F#5_A5",4
"90","G4_C4",4
"91","G4_E4",4
"92","G4_F#5",4
"93","B4_F5",3
"94","Bb4_Bb4",3
"95","Bb4_D5",3
"96","C4_G4",3
"97","E4_G4",3
"98","E5_Eb5",3
"99","F#5_F5",3
"100","G4_A4",3
"101","A4_G4",2
"102","Ab5_B5",2
"103","B4_Eb5",2
"104","B4_G5",2
"105","B5_Ab5",2
"106","Bb5_Ab5",2
"107","C4_Ab4",2
"108","C4_C4",2
"109","C5_Ab5",2
"110","C5_C4",2
"111","C5_F#5",2
"112","E5_E5",2
"113","F#5_F#5",2
"114","F4_Eb5",2
"115","G4 B4_D4",2
"116","G4_Ab5",2
"117","G4_G4 B4",2
"118","G5_Bb5",2
"119","G5_D4",2
"120","G5_F4",2
"121","A4_A4",1
"122","A4_Ab4",1
"123","A4_B4",1
"124","A4_Bb4",1
"125","A4_C4",1
"126","A4_D5",1
"127","A5_Ab5",1
"128","Ab4_E4",1
"129","Ab4_F5",1
"130","Ab5_Ab5",1
"131","Ab5_Bb5",1
"132","B3_F5",1
"133","B4_A4",1
"134","B4_F#5",1
"135","B5_C6",1
"136","B5_G5",1
"137","Bb4_F4",1
"138","Bb5_A5",1
"139","Bb5_G5",1
"140","C#5_D5",1
"141","C4_C5",1
"142","C4_D4",1
"143","C4_E4",1
"144","C5_B5",1
"145","C6_B5",1
"146","C6_D6",1
"147","D4_Ab4",1
"148","D4_D5",1
"149","D4_E4",1
"150","D5_Bb4",1
"151","D5_Bb5",1
"152","D5_C#5",1
"153","D5_F#4",1
"154","D5_F4",1
"155","D6_C6",1
"156","E5_D5",1
"157","E5_F#5",1
"158","Eb5_B4",1
"159","Eb5_E5",1
"160","F#4_G4",1
"161","F#5_Ab5",1
"162","F#5_D5",1
"163","F4_Bb4",1
"164","F5_Bb4",1
"165","F5_G4",1
"166","G3 D4 B4 G5_B4",1
"167","G3_Ab4",1
"168","G3_Ab5",1
"169","G3_C5",1
"170","G3_D5",1
"171","G4_E5",1
"172","G4_NA",1
"173","G5_A5",1
"174","G5_B3",1
"175","G5_C4",1
"176","G5_E4",1
"177","G5_G3",1
"178","G5_G3 D4 B4 G5",1
