Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME
Bach_Johann Sebastian,chor001.krn,NA,chorale,86.7582,0,0.252968836102715,3.77206,0.25,23.57,47.89,chor001.krn,3.556,4.444,1.778,0.889,3.111,0.444,7.111,5.778,0.444,4.444,1.778,5.333,1.333,4.444,1.778,0.889,0.444,6.667,4.889,2.667,0.444,1.333,6.222,6.667,3.556,0.444,0.444,3.556,2.222,2.667,6.667,0.889,2.222,0.444
Bach_Johann Sebastian,chor002.krn,NA,chorale,102.719,0,0.179102206931488,5.20996,0.367088607594937,27.48,44.06,chor002.krn,3.084,4.846,0.441,0.881,6.608,6.167,0.441,5.727,0.441,2.203,0.441,0.881,0.441,6.608,0.881,4.846,1.322,0.881,5.727,0.441,4.405,0.881,1.762,1.762,1.322,6.167,3.524,3.084,1.762,0.441,5.286,1.322,3.084,4.405,1.322,5.727,0.441
Bach_Johann Sebastian,chor003.krn,NA,chorale,77.2487,0,0.455764431611038,4.88458,0.46875,23.69,40.31,chor003.krn,2.604,5.208,3.125,0.521,6.771,5.729,1.042,5.208,0.521,1.042,0.521,0.521,6.25,0.521,4.688,0.521,0.521,5.208,1.563,6.25,0.521,2.083,1.042,0.521,7.292,5.729,3.646,0.521,0.521,4.688,3.125,7.292,0.521,3.646,0.521
Bach_Johann Sebastian,chor004.krn,NA,chorale,93.3334,0,0.0269900111172923,4.86005,0.147540983606557,30.25,42.99,chor004.krn,2.198,6.044,0.549,2.198,2.198,1.648,6.044,3.297,2.198,5.495,0.549,2.747,1.099,2.747,3.297,0.549,3.297,1.099,1.099,0.549,2.747,4.396,1.099,4.396,1.648,1.099,3.846,5.495,3.297,0.549,1.099,1.648,0.549,4.396,0.549,3.297,6.044,1.099,3.846
Bach_Johann Sebastian,chor005.krn,NA,chorale,126.779,1,0.706518876097757,5.30583,0.211382113821138,21.08,52.95,chor005.krn,6.687,5.775,0.304,0.912,1.216,0.304,4.863,4.559,1.824,4.559,0.304,2.128,1.52,0.608,0.912,5.167,0.608,5.471,0.912,0.304,0.912,6.079,4.559,0.304,0.304,3.04,0.304,0.608,5.471,3.04,4.559,0.608,1.52,0.912,0.304,5.167,2.432,2.432,3.951,0.912,3.343,0.304
Bach_Johann Sebastian,chor006.krn,NA,chorale,73.5238,0,0.501064683816132,4.7193,0.0952380952380952,25.84,51.2,chor006.krn,5.983,2.564,2.564,0.855,0.855,6.838,4.274,2.564,2.564,2.564,0.855,5.983,2.564,3.419,1.709,0.855,4.274,5.128,0.855,4.274,1.709,5.128,5.128,5.128,0.855,1.709,0.855,4.274,1.709,5.128,2.564,2.564,1.709
Bach_Johann Sebastian,chor007.krn,NA,chorale,88.5085,0,0.119392750614721,5.56137,0.252252252252252,30.32,44.29,chor007.krn,3.216,4.386,0.585,1.462,1.17,1.17,7.018,4.971,2.339,4.971,2.047,0.292,1.462,4.678,2.924,2.924,2.339,0.877,0.877,3.216,1.17,3.801,2.924,0.585,1.462,3.509,4.678,4.971,0.292,0.585,1.754,0.292,0.585,5.848,0.292,2.924,4.971,0.877,0.292,0.877,3.509,0.877
Bach_Johann Sebastian,chor008.krn,NA,chorale,58.8618,0,0.183951938363584,3.91555,0.258064516129032,21.46,51.54,chor008.krn,7.91,3.672,0.565,1.412,1.13,0.282,4.52,2.26,1.977,3.672,0.565,1.412,1.412,2.542,5.367,3.107,0.565,1.977,0.847,3.39,2.542,4.802,1.977,3.107,0.282,1.13,4.52,5.932,3.672,0.565,0.282,1.977,4.237,1.977,1.695,4.237,0.282,0.847,1.412,2.825,3.107
Bach_Johann Sebastian,chor009.krn,NA,chorale,103.786,1,0.706700411796646,5.25026,0.252873563218391,18.46,56.31,chor009.krn,2.51,5.858,0.418,0.837,0.837,0.837,3.766,5.021,4.184,4.603,2.092,0.418,5.021,3.347,4.603,0.837,1.255,0.418,0.837,5.021,2.092,3.766,1.674,1.255,2.929,4.184,6.276,0.418,0.418,1.255,4.184,2.092,5.858,5.439,0.418,0.418,0.837,2.929,0.837
Bach_Johann Sebastian,chor010.krn,NA,chorale,95.0618,0,0.639434355067436,5.04078,0.517857142857143,33.11,34.8,chor010.krn,0.562,3.371,0.562,1.124,2.809,7.865,7.303,0.562,4.494,2.247,0.562,8.989,1.124,3.371,0.562,1.124,5.618,1.685,3.371,1.124,2.247,0.562,0.562,5.056,3.933,3.371,1.124,0.562,1.124,3.933,2.809,5.618,0.562,2.247,0.562,3.933,3.371
