bass,soprano
5.70044,5.35755
5.55459,5.35755
5.42626,5.08746
5.35755,5.08746
5.85798,5.58496
5.2854,4.64386
6.20945,6
6.06609,5.55459
5.85798,5.20945
5.42626,5.24793
6.49185,5.75489
5.16993,4.90689
6,5.45943
5.70044,5.35755
5.83289,5.2854
6.06609,5.55459
5.55459,5.35755
5.20945,5.08746
5.64386,4.39232
5.49185,5.24793
5.20945,5.08746
5.61471,5.42626
5.42626,4.90689
5.90689,5.39232
5.55459,5.12928
5.32193,4.75489
5.35755,5
5.12928,4.70044
5.49185,5
5.52356,5
5.45943,5.08746
5.67243,5.04439
5.45943,5
6,5.12928
5.24793,4.80735
5.85798,5.24793
5.61471,5.08746
5.45943,4.90689
5.70044,4.90689
4.90689,4.85798
5.85798,5.20945
4.85798,4.64386
5.85798,5.80735
5.32193,4.70044
5.80735,5.16993
5.58496,4.9542
5.52356,5.12928
5.70044,4.75489
5.70044,5.24793
5.64386,5.12928
5.55459,5.04439
5.93074,5.32193
5.45943,5.16993
5.12928,5.08746
5.55459,4.45943
6.04439,5.55459
5,4.90689
6,5.42626
5.42626,5.16993
5.42626,5.2854
5.9542,5.16993
5.04439,5.04439
5.61471,5
5.61471,5
5.32193,5.16993
5.70044,5.42626
5.49185,5
5.16993,4.80735
6.14975,5.90689
5.90689,5.70044
5.80735,5.55459
5.12928,4.90689
5.55459,5.12928
5.49185,5.16993
5.67243,5.08746
5.61471,5.16993
5.75489,5.20945
5.42626,5.08746
5.55459,5.52356
5.55459,5.12928
5.80735,5.12928
5.83289,5.32193
5.58496,5.32193
5.93074,5.61471
5.64386,5.39232
5.67243,5.35755
5.52356,5.42626
5.42626,4.90689
5.55459,5.42626
5.16993,5.42626
6.39232,6.04439
5.58496,5.08746
5.20945,5.2854
5.32193,4.80735
5.32193,4.85798
5.52356,5.42626
5.9542,5.52356
5.49185,5.12928
5.52356,5
5.55459,5.35755
5.52356,4.70044
5.70044,5.61471
5.49185,4.85798
5.32193,5.04439
5.52356,5.12928
5.20945,5.32193
6.16993,5.52356
5.45943,5.24793
6,5.93074
5.45943,5.24793
5.49185,5.39232
5.20945,4.90689
5.70044,5.24793
5.55459,5.04439
5.61471,5.04439
6.55459,6
5.55459,4.80735
5.49185,5.08746
6.04439,5.52356
5.58496,5.16993
5.70044,5.39232
5.55459,5.61471
5.61471,5
5.75489,4.9542
5.32193,4.80735
5.58496,5.32193
5.52356,4.64386
5.61471,5.12928
5.72792,5.2854
4.80735,4.52356
5.52356,4.64386
7.06609,6.12928
6.78136,5.9542
5.93074,5.20945
5.64386,5.2854
5.2854,4.58496
5.88264,5.32193
5.61471,5.20945
5.49185,4.90689
5.67243,4.90689
