file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor009.krn	 1	 4.64239	 14.902	 *M4/4	chor009.hrm	 4	 0	 1	 1	 0
chor009.krn	 2	 4.7134	 27.2093	 *M4/4	chor009.hrm	 4	 1	 2	 1	 4
chor009.krn	 3	 4.37628	 31.9111	 *M4/4	chor009.hrm	 4	 5	 2	 1	 0
chor009.krn	 4	 3.85971	 18.5417	 *M4/4	chor009.hrm	 4	 1	 1	 1	 0
chor019.krn	 1	 4.89448	 22.2222	 *M4/4	chor019.hrm	 4	 3	 0	 1	 1
chor019.krn	 2	 4.23356	 26.4251	 *M4/4	chor019.hrm	 4	 2	 1	 0	 1
chor019.krn	 3	 3.92093	 19.8485	 *M4/4	chor019.hrm	 4	 2	 1	 0	 1
chor019.krn	 4	 3.187	 0	 *M4/4	chor019.hrm	 4	 0	 0	 0	 0
chor024.krn	 1	 5.12165	 24.7275	 *M4/4	chor024.hrm	 4	 0	 0	 0	 0
chor024.krn	 2	 4.86199	 30.5148	 *M4/4	chor024.hrm	 4	 0	 2	 0	 0
chor024.krn	 3	 4.66066	 36.6667	 *M4/4	chor024.hrm	 4	 2	 2	 0	 0
chor024.krn	 4	 4.20452	 27.1846	 *M4/4	chor024.hrm	 4	 1	 0	 0	 1
chor028.krn	 1	 4.49857	 32.3333	 *M4/4	chor028.hrm	 4	 0	 1	 0	 0
chor028.krn	 2	 4.41174	 47.988	 *M4/4	chor028.hrm	 4	 0	 0	 0	 0
chor028.krn	 3	 4.40462	 43.1579	 *M4/4	chor028.hrm	 4	 1	 0	 1	 0
chor028.krn	 4	 3.69914	 35	 *M4/4	chor028.hrm	 4	 0	 0	 0	 0
chor030.krn	 1	 4.58248	 30.2521	 *M4/4	chor030.hrm	 4	 3	 0	 0	 0
chor030.krn	 2	 4.91689	 46.4893	 *M4/4	chor030.hrm	 4	 1	 1	 1	 0
chor030.krn	 3	 4.64859	 43.8484	 *M4/4	chor030.hrm	 4	 7	 2	 0	 0
chor030.krn	 4	 3.68315	 18.9394	 *M4/4	chor030.hrm	 4	 1	 0	 0	 0
chor032.krn	 1	 4.78509	 30.8225	 *M4/4	chor032.hrm	 4	 0	 0	 0	 0
chor032.krn	 2	 4.42903	 37.758	 *M4/4	chor032.hrm	 4	 1	 3	 0	 0
chor032.krn	 3	 3.93809	 33.5034	 *M4/4	chor032.hrm	 4	 3	 0	 0	 0
chor032.krn	 4	 3.97497	 44.3246	 *M4/4	chor032.hrm	 4	 0	 0	 0	 1
chor046.krn	 1	 4.65105	 29.9291	 *M4/4	chor046.hrm	 4	 0	 1	 0	 0
chor046.krn	 2	 4.49839	 22.2222	 *M4/4	chor046.hrm	 4	 1	 0	 0	 0
chor046.krn	 3	 4.45447	 32.6829	 *M4/4	chor046.hrm	 4	 1	 0	 0	 0
chor046.krn	 4	 3.93868	 14.8148	 *M4/4	chor046.hrm	 4	 0	 0	 0	 0
chor048.krn	 1	 4.8033	 12.327	 *M4/4	chor048.hrm	 4	 0	 0	 0	 0
chor048.krn	 2	 4.2686	 13.617	 *M4/4	chor048.hrm	 4	 0	 0	 1	 0
chor048.krn	 3	 4.42514	 16.9697	 *M4/4	chor048.hrm	 4	 4	 0	 0	 0
chor048.krn	 4	 3.80165	 11.7949	 *M4/4	chor048.hrm	 4	 0	 0	 0	 1
chor054.krn	 1	 4.51811	 20.8333	 *M4/4	chor054.hrm	 4	 0	 1	 0	 0
chor054.krn	 2	 4.30485	 23.9177	 *M4/4	chor054.hrm	 4	 0	 0	 1	 0
chor054.krn	 3	 4.12594	 28.9474	 *M4/4	chor054.hrm	 4	 2	 0	 0	 0
chor054.krn	 4	 4.33828	 26.1905	 *M4/4	chor054.hrm	 4	 0	 1	 0	 0
chor068.krn	 1	 4.21954	 29.7619	 *M4/4	chor068.hrm	 4	 0	 0	 0	 0
chor068.krn	 2	 4.40269	 43.2394	 *M4/4	chor068.hrm	 4	 1	 0	 0	 0
chor068.krn	 3	 4.93136	 51.4966	 *M4/4	chor068.hrm	 4	 7	 0	 1	 0
chor068.krn	 4	 3.43567	 18.5578	 *M4/4	chor068.hrm	 4	 0	 0	 0	 0
chor069.krn	 1	 4.89918	 28.7075	 *M4/4	chor069.hrm	 4	 0	 1	 0	 0
chor069.krn	 2	 4.89023	 38.383	 *M4/4	chor069.hrm	 4	 2	 1	 0	 0
chor069.krn	 3	 4.86556	 43.8936	 *M4/4	chor069.hrm	 4	 3	 1	 1	 0
chor069.krn	 4	 4.51234	 37.0044	 *M4/4	chor069.hrm	 4	 0	 0	 1	 0
chor088.krn	 1	 4.99151	 27.1795	 *M4/4	chor088.hrm	 4	 0	 0	 0	 0
chor088.krn	 2	 4.71984	 29.5918	 *M4/4	chor088.hrm	 4	 1	 2	 0	 0
chor088.krn	 3	 4.17982	 23.4316	 *M4/4	chor088.hrm	 4	 2	 0	 0	 0
chor088.krn	 4	 3.96057	 29.6429	 *M4/4	chor088.hrm	 4	 0	 0	 0	 0
chor098.krn	 1	 4.77419	 28.8645	 *M4/4	chor098.hrm	 4	 0	 0	 0	 0
chor098.krn	 2	 4.46935	 26.0128	 *M4/4	chor098.hrm	 4	 2	 2	 0	 0
chor098.krn	 3	 4.18795	 29.2822	 *M4/4	chor098.hrm	 4	 3	 2	 0	 0
chor098.krn	 4	 4.20885	 32.1212	 *M4/4	chor098.hrm	 4	 0	 2	 0	 0
chor101.krn	 1	 4.86041	 17.316	 *M4/4	chor101.hrm	 4	 0	 0	 0	 0
chor101.krn	 2	 4.55165	 30.1843	 *M4/4	chor101.hrm	 4	 3	 0	 0	 0
chor101.krn	 3	 4.10014	 26.5432	 *M4/4	chor101.hrm	 4	 0	 0	 0	 0
chor101.krn	 4	 3.79797	 28.1905	 *M4/4	chor101.hrm	 4	 0	 0	 0	 0
chor110.krn	 1	 4.69732	 17.284	 *M4/4	chor110.hrm	 4	 0	 0	 0	 0
chor110.krn	 2	 4.62305	 16.6667	 *M4/4	chor110.hrm	 4	 1	 0	 0	 1
chor110.krn	 3	 4.56104	 19.6721	 *M4/4	chor110.hrm	 4	 1	 2	 0	 0
chor110.krn	 4	 4.48248	 15.0943	 *M4/4	chor110.hrm	 4	 0	 0	 0	 0
chor117.krn	 1	 4.82574	 21.1224	 *M4/4	chor117.hrm	 4	 0	 1	 0	 0
chor117.krn	 2	 4.61042	 28.0226	 *M4/4	chor117.hrm	 4	 0	 1	 2	 0
chor117.krn	 3	 4.46395	 17.5439	 *M4/4	chor117.hrm	 4	 2	 2	 0	 0
chor117.krn	 4	 3.77497	 28.1481	 *M4/4	chor117.hrm	 4	 0	 0	 0	 0
chor124.krn	 1	 4.62152	 16.7708	 *M4/4	chor124.hrm	 4	 0	 2	 0	 0
chor124.krn	 2	 4.77849	 26.3966	 *M4/4	chor124.hrm	 4	 0	 1	 0	 0
chor124.krn	 3	 4.83076	 32.6984	 *M4/4	chor124.hrm	 4	 2	 3	 0	 0
chor124.krn	 4	 3.46918	 15.1515	 *M4/4	chor124.hrm	 4	 0	 0	 0	 0
chor136.krn	 1	 4.74052	 23.1884	 *M4/4	chor136.hrm	 4	 0	 0	 0	 0
chor136.krn	 2	 4.03654	 18.5185	 *M4/4	chor136.hrm	 4	 2	 0	 0	 0
chor136.krn	 3	 4.15844	 21.0101	 *M4/4	chor136.hrm	 4	 6	 0	 0	 0
chor136.krn	 4	 3.66002	 8.08081	 *M4/4	chor136.hrm	 4	 0	 0	 0	 0
