1959, 26-2, Coltrane John
1948, 52nd Street Theme, Monk Thelonious
1945, 9.20 Special, Warren Earl
1944, Ac-Cent-Tchu-Ate the Positive, Arlen Harold
1947, Across The Valley From The Alamo, Greene Joe
1959, A Felicidade, Jobim Antonio Carlos
1959, Afro Blue, Santamaria Mongo
1956, Afternoon In Paris, Lewis John
1932, After You, Porter Cole
1949, Again, Newman Lionel
1929, Ain't Misbehavin', Waller Fats
1927, Ain't She Sweet, Ager Milton
1954, Airegin, Rollins Sonny
1940, Airmail Special, Christian Charlie
1951, Alice In Wonderland, Fain Sammy
1953, All About Ronnie, Greene Joe
1959, All Blues, Davis Miles
1937, All God's Chillun Got Rhythm1, Kahn Gus
1960, All My Tomorrows, van Heusen Jimmy
1944, All Of A Sudden My Heart Sings1, Herpin Laurent
1931, All Of Me, Marks Gerald
1954, All Of You, Porter Cole
1938, All Or Nothing At All, Altman Arthur
1939, All The Things You Are, Kern Jerome
1957, All The Way, van Heusen Jimmy
1946, All Through The Day1, Kern Jerome
1934, All Through The Night, Porter Cole
1940, All Too Soon, Ellington Duke
1947, Almost Like Being In Love, Loewe Frederick
1939, Alone Together, Schwartz Arthur
1954, Alone Too Long, Schwartz Arthur
1958, Along Came Betty, Golson Benny
1925, Always, Berlin Irving
1929, Am I Blue?, Akst Harry
1927, Among My Souvenirs, Nicholls Horatio
1944, Amor, Ruiz Gabriel
1939, And The Angels Sing, Elman Ziggy
1946, Angel Eyes, Dennis Matt
1946, Anthropology, Parker Charlie
1934, Anything Goes, Porter Cole
1932, April In Paris, Duke Vernon
1945, Aren't You Glad You're You, van Heusen Jimmy
1951, Ask Me Now, Monk Thelonious
1934, As Long As I Live, Arlen Harold
1931, As Time Goes By, Hupfeld Herman
1941, At Last, Warren Harry
1937, At Long Last Love, Porter Cole
1934, Autumn In New York, Duke Vernon
1947, Autumn Leaves, Kosma Joseph
1956, Ba-lue Bolivar Ba-lues-are, Monk Thelonious
1954, Bags' Groove, Jackson Milt
1950, Ballade, Parker Charlie
1942, Baltimore Oriole, Carmichael Hoagy
1948, Barbados, Parker Charlie
1953, Bark For Barksdale, Mulligan Gerry
1926, Basin Street Blues, Williams Spencer
1953, Baubles Bangles And Beads1, Wright Robert
1944, Be-Bop, Gillespie Dizzy
1957, Beautiful Friendship A, Kahn Donald
1931, Beautiful Love, Young Victor
1940, Be Careful It's My Heart, Berlin Irving
1935, Begin The Beguine, Porter Cole
1952, Bemsha Swing, Monk Thelonious
1950, Be My Love, Brodszky Nikolaus
1953, Bernie's Tune, Miller Bernie
1940, Besame Mucho, Velazques Consuelo
1935, Bess You Is My Woman, Gershwin George
1959, Best Is Yet To Come, Coleman Cy
1959, Best Is Yet To Come 2, Coleman Cy
1950, Best Thing For You Is Me The, Berlin Irving
1927, Best Things In Life Are Free The1, DeSylva B.G.
1931, Between The Devil And The Deep Blue Sea, Arlen Harold
1941, Bewitched, Rodgers Richard
