"","major_pitches","major_durations"
"1","D4",0.5
"2","D4",0
"3","G4",1.5
"4","D5",0.5
"5","D5",0.25
"6","C5",0.25
"7","C5",0.25
"8","B4",0.25
"9","B4",0.25
"10","D5",0.25
"11","D5",0.5
"12","B4",1.5
"13","D5",0.5
"14","D5",0.25
"15","C5",0.25
"16","C5",0.25
"17","B4",0.25
"18","B4",0.5
"19","A4",0.25
"20","G4",0.25
"21","B4",1.5
"22","D5",0.5
"23","D5",0.25
"24","C5",0.25
"25","C5",0.25
"26","B4",0.25
"27","D5",1
"28","C5",0.25
"29","C5",0.25
"30","B4",0.25
"31","A4",0.25
"32","B4",0.25
"33","D4",0.25
"34","G4",0.25
"35","B4",0.25
"36","A4",0.25
"37","D4",0.25
"38","F#4",0.25
"39","A4",0.25
"40","G4",0.25
"41","A4",0.25
"42","B4",0.25
"43","C5",0.25
"44","D5",0.25
"45","D5",0.25
"46","C5",0.25
"47","B4",0.25
"48","A4",0.25
"49","B4",0.25
"50","C5",0.25
"51","D5",0.25
"52","B4",1.5
"53","G5",0.5
"54","G5",0.25
"55","Ab5",0.25
"56","G5",0.25
"57","F#5",0.25
"58","G5",0.25
"59","A4",0.25
"60","B4",0.25
"61","C5",0.25
"62","B4",0.25
"63","C5",0.25
"64","B4",0.25
"65","A4",0.25
"66","B4",1
"67","A4",0.25
"68","B4",0.25
"69","C5",0.25
"70","D5",0.25
"71","B4",0.25
"72","G4",0.25
"73","A4",0.25
"74","F#4",0.25
"75","B4",1
"76","B4",0.25
"77","G4",0.25
"78","D5",0.25
"79","C5",0.25
"80","B4",0.75
"81","A4",0.25
"82","B4",0.5
"83","A4",0.25
"84","G4",0.25
"85","A4",0.25
"86","B4",0.25
"87","C5",0.25
"88","E5",0.25
"89","D5",0.25
"90","C5",0.25
"91","B4",0.25
"92","A4",0.25
"93","B4",1
"94","B4",0.25
"95","D4",0.25
"96","G4",0.25
"97","A4",0.25
"98","B4",1
"99","B4",0.25
"100","G4",0.25
"101","D5",0.25
"102","C5",0.25
"103","B4",1
"104","B4",0.5
"105","A4",0.25
"106","G4",0.25
"107","A4",0.25
"108","B4",0.25
"109","C5",0.25
"110","E5",0.25
"111","D5",0.25
"112","C5",0.25
"113","B4",0.25
"114","A4",0.25
"115","G4",1
"116","G4",0.25
"117","D4",0.25
"118","G4",0.25
"119","A4",0.25
"120","G4",2
"121","B4",1
"122","B4",0.25
"123","A4",0.25
"124","D5",0.25
"125","C5",0.25
"126","B4",1
"127","B4",0.25
"128","C5",0.125
"129","B4",0.125
"130","A4",0.25
"131","G4",0.25
"132","A4",0.25
"133","B4",0.25
"134","C5",0.25
"135","E5",0.25
"136","D5",0.25
"137","C5",0.25
"138","B4",0.25
"139","A4",0.25
"140","G4",0.5
"141","G5",0.5
"142","G5",0.5
"143","G5",0.5
"144","B4",1
"145","B4",0.25
"146","A4",0.25
"147","D5",0.25
"148","C5",0.25
"149","B4",1
"150","B4",0.25
"151","C5",0.125
"152","B4",0.125
"153","A4",0.25
"154","G4",0.25
"155","A4",0.25
"156","B4",0.25
"157","C5",0.25
"158","E5",0.25
"159","D5",0.25
"160","C5",0.25
"161","B4",0.25
"162","A4",0.25
"163","G4",2
"164","F#4",0.25
"165","D4",0.25
"166","F#4",0.25
"167","D4",0.25
"168","G4",1
"169","F#4",0.25
"170","D4",0.25
"171","F#4",0.25
"172","D4",0.25
"173","G4",1
"174","F#4",0.25
"175","D4",0.25
"176","F#4",0.25
"177","D4",0.25
"178","G4",0.25
"179","D4",0.25
"180","G4",0.25
"181","D4",0.25
"182","A4",0.25
"183","D4",0.25
"184","A4",0.25
"185","D4",0.25
"186","C5",0.25
"187","B4",0.25
"188","A4",0.25
"189","G4",0.25
"190","F#4",0.25
"191","D4",0.25
"192","F#4",0.25
"193","D4",0.25
"194","G4",1
"195","F#4",0.25
"196","D4",0.25
"197","F#4",0.25
"198","D4",0.25
"199","G4",1
"200","A4",0.25
"201","E5",0.25
"202","D5",0.25
"203","C5",0.25
"204","B4",0.25
"205","C5",0.25
"206","A4",0.25
"207","B4",0.25
"208","G4",2
"209","G4",0.25
"210","A4",0.25
"211","B4",0.25
"212","C5",0.25
"213","D5",0.5
"214","A4",0.5
"215","F#5",0.5
"216","B4",2
"217","G5",2
"218","G4",0.5
"219","B4",1.5
"220","A4",0.25
"221","G4",0.25
"222","D5",0.25
"223","C5",0.25
"224","C5",0.25
"225","B4",0.25
"226","B4",0.5
"227","A4",0.25
"228","G4",0.25
"229","B4",0.5
"230","A4",0.25
"231","G4",0.25
"232","D5",0.167
"233","E5",0.167
"234","D5",0.167
"235","C5",0.5
"236","B4",0.5
"237","G5",0.5
"238","D5",0.5
"239","G5",0.5
"240","B4",1.5
"241","B4",0.25
"242","D5",0.25
"243","D5",0.25
"244","C5",0.25
"245","C5",0.25
"246","B4",0.25
"247","B4",0.5
"248","A4",0.25
"249","G4",0.25
"250","B4",0.25
"251","A4",0.25
"252","A4",0.25
"253","G4",0.25
"254","B4",0.167
"255","C5",0.167
"256","B4",0.167
"257","A4",0.5
"258","G4",1
"259","D4",0.25
"260","G4",0.25
"261","B4",1.5
"262","D5",0.5
"263","D5",0.25
"264","C5",0.25
"265","C5",0.25
"266","B4",0.25
"267","D5",1
"268","B4",0.25
"269","C5",0.25
"270","B4",1
"271","G4",0.25
"272","D5",0.25
"273","D5",0.25
"274","C5",0.25
"275","C5",0.25
"276","B4",0.25
"277","B4",0.5
"278","A4",0.25
"279","G4",0.25
"280","B4",1.5
"281","B4",0.25
"282","D5",0.25
"283","D5",0.25
"284","C5",0.25
"285","C5",0.25
"286","B4",0.25
"287","B4",1
"288","A4",0.167
"289","B4",0.167
"290","A4",0.167
"291","G4",0.5
"292","B4",0.5
"293","A4",0.5
"294","G4",1
"295","D4",0.25
"296","G4",0.25
"297","B4",1.5
"298","A4",0.25
"299","G4",0.25
"300","D5",0.25
"301","C5",0.25
"302","C5",0.25
"303","B4",0.25
"304","B4",1
"305","A4",0.167
"306","B4",0.167
"307","A4",0.167
"308","G4",0.5
"309","B4",0.5
"310","A4",0.5
"311","G4",0.5
"312","D5",0.5
"313","C5",0.167
"314","D5",0.167
"315","C5",0.167
"316","B4",0.5
"317","B4",1.5
"318","A4",0.25
"319","G4",0.25
"320","D5",0.5
"321","C5",0.5
"322","B4",0.25
"323","C5",0.25
"324","B4",0.5
"325","A4",0.5
"326","G4",0.5
"327","B4",0.5
"328","A4",0.5
"329","G4",1.5
"330","D4",0.25
"331","G4",0.25
"332","B4",1.5
"333","D5",0.5
"334","D5",0.5
"335","C5",0.5
"336","B4",1
"337","A4",0.167
"338","B4",0.167
"339","A4",0.167
"340","G4",0.5
"341","B4",0.25
"342","C5",0.25
"343","B4",0.25
"344","A4",0.25
"345","G4",0.5
"346","D5",0.5
"347","C#5",0.375
"348","E5",0.125
"349","D5",0.5
"350","B4",1.5
"351","B4",0.25
"352","D5",0.25
"353","D5",0.5
"354","C5",0.5
"355","B4",1
"356","A4",0.167
"357","B4",0.167
"358","A4",0.167
"359","G4",0.5
"360","B4",0.5
"361","A4",0.5
"362","G4",1.5
"363","D4",0.5
"364","G4",1
"365","B4",0.5
"366","D5",0.5
"367","C5",1.5
"368","B4",0.5
"369","B4",0.25
"370","A4",0.25
"371","A4",0.25
"372","G4",0.25
"373","D5",0.5
"374","C5",0.5
"375","B4",0.25
"376","C5",0.25
"377","B4",1
"378","A4",0.25
"379","G4",0.25
"380","B4",1
"381","D5",0.5
"382","C5",0.5
"383","B4",1
"384","A4",0
"385","B4",0
"386","A4",0.75
"387","G4",0.25
"388","A4",1
"389","B4",0.5
"390","A4",0.5
"391","G4",1
"392","D4",0.25
"393","G4",0.25
"394","B4",1
"395","B4",0.25
"396","D5",0.25
"397","C5",0.5
"398","C5",0
"399","D5",0
"400","B4",1.5
"401","A4",0.5
"402","A4",0.5
"403","G4",0.5
"404","D5",0.5
"405","C5",0.5
"406","B4",0.25
"407","D5",0.25
"408","D5",1
"409","C5",0.5
"410","B4",1
"411","D5",0.5
"412","C5",0.5
"413","B4",1.5
