"","bigram","n"
"1","C5_B4",377
"2","B4_A4",344
"3","A4_G4",296
"4","D5_C5",282
"5","B4_C5",238
"6","A4_B4",233
"7","G4_B4",206
"8","G4_A4",166
"9","B4_G4",161
"10","B4_B4",159
"11","B4_D5",153
"12","C5_D5",130
"13","E5_D5",123
"14","D5_D5",105
"15","D5_B4",94
"16","A4_A4",92
"17","G4_G4",89
"18","D4_G4",87
"19","G4_D5",79
"20","C5_C5",72
"21","D5_E5",69
"22","G4_D4",65
"23","C5_A4",62
"24","G4_F#4",57
"25","F#4_G4",55
"26","F5_E5",48
"27","A4_C5",37
"28","D5_G5",37
"29","C#5_D5",34
"30","D5_C#5",32
"31","F#5_G5",32
"32","G5_D5",32
"33","D4_D4",30
"34","E5_F5",29
"35","G5_F#5",28
"36","D5_G4",25
"37","A4_F#4",24
"38","B4_D4",22
"39","A4_D4",20
"40","G4_G5",20
"41","C5_E5",19
"42","F#5_E5",19
"43","D4_A4",18
"44","F#4_A4",18
"45","F#4_D4",18
"46","F#4_E4",18
"47","G4_C5",18
"48","G5_G5",18
"49","D5_F5",15
"50","E4_F#4",15
"51","A4_D5",14
"52","D4_E4",14
"53","D4_F#4",13
"54","E5_F#5",13
"55","G5_B4",13
"56","E5_E5",12
"57","G5_G4",12
"58","D5_D4",11
"59","E4_D4",11
"60","E5_C5",10
"61","G4_G3",9
"62","E4_A4",8
"63","A5_G5",7
"64","D5_A4",7
"65","D5_F#5",7
"66","A#4_C5",6
"67","B4_E5",6
"68","D4_B4",6
"69","F#5_D5",6
"70","A4_E5",5
"71","B4_A#4",5
"72","D4_C5",5
"73","F#5_A5",5
"74","G4_C#5",5
"75","G4_E5",5
"76","G4_F#5",5
"77","G5_E5",5
"78","A5_F#5",4
"79","C#5_E5",4
"80","C5_G4",4
"81","D#5_E5",4
"82","D4_D5",4
"83","E5_A4",4
"84","F#4_F#4",4
"85","F5_D5",4
"86","G5_F5",4
"87","B5_A5",3
"88","C5_F#5",3
"89","C6_B5",3
"90","E4_E4",3
"91","G3_B4",3
"92","G3_D5",3
"93","G4_E4",3
"94","G4_F5",3
"95","G5_A5",3
"96","A#5_B5",2
"97","A4_Bb4",2
"98","A4_G#4",2
"99","A5_C6",2
"100","B4_D3",2
"101","B4_F5",2
"102","B4_G5",2
"103","B5_F#5",2
"104","B5_G5",2
"105","Bb4_A4",2
"106","C#5_C#5",2
"107","C5_F#4",2
"108","D5_D#5",2
"109","E5_B4",2
"110","E5_G5",2
"111","F#4_D5",2
"112","F5_G5",2
"113","G#4_A4",2
"114","G5_A#5",2
"115","G5_B5",2
"116","G5_D#5",2
"117","A4 F#5_B4 G5",1
"118","A4_F#5",1
"119","A5_A5",1
"120","A5_B5",1
"121","Ab5_G5",1
"122","B3_D4",1
"123","B4 G5_G4",1
"124","B4_C#5",1
"125","B5_D6",1
"126","Bb4_G4",1
"127","C#5_Bb4",1
"128","C5_C#5",1
"129","D3_A4",1
"130","D3_B4",1
"131","D4_B3",1
"132","D4_F5",1
"133","D5_A4 F#5",1
"134","D5_A5",1
"135","D5_Eb5",1
"136","D5_F#4",1
"137","D6_C6",1
"138","E4_G4",1
"139","E5_A5",1
"140","Eb5_D5",1
"141","F#4_B4",1
"142","F#5_C5",1
"143","F5_F5",1
"144","G3_A4",1
"145","G3_C5",1
"146","G3_G4",1
"147","G4_A#4",1
"148","G4_A5",1
"149","G4_NA",1
"150","G5_A4",1
"151","G5_Ab5",1
