group,tune,entropy,most_common_int,most_common_rhythm,key_cor
altered_dorian_freylehs_kern,Beregovsk_2001_112.krn,5.65937,A2,16,0.8552
altered_dorian_freylehs_kern,Beregovski_2001_105.krn,6.29095,m3,16,0.8057
altered_dorian_freylehs_kern,Beregovski_2001_106.krn,6.12704,m3,16,0.8210
altered_dorian_freylehs_kern,Beregovski_2001_107.krn,5.73295,A2,16,0.7508
altered_dorian_freylehs_kern,Beregovski_2001_108.krn,5.54223,A2,8,0.6087
altered_dorian_freylehs_kern,Beregovski_2001_109.krn,5.93988,m3,16,0.7266
altered_dorian_freylehs_kern,Beregovski_2001_110.krn,5.59638,P4,16,0.6820
altered_dorian_freylehs_kern,Beregovski_2001_111.krn,6.23298,P4,8,0.7971
altered_dorian_freylehs_kern,Beregovski_2001_113.krn,6.32292,M3,16,0.7263
altered_dorian_freylehs_kern,Beregovski_2001_114.krn,1,m3,16,0.8420
altered_dorian_freylehs_kern,Beregovski_2001_115.krn,5.97164,m3,16,0.7888
altered_dorian_freylehs_kern,Beregovski_2001_116.krn,6.18495,m3,16,0.7992
altered_dorian_freylehs_kern,Beregovski_2001_117.krn,5.97946,M3,16,0.7566
altered_dorian_freylehs_kern,Beregovski_2001_118.krn,6.04022,A2,16,0.7369
altered_dorian_freylehs_kern,Beregovski_2001_119.krn,5.96614,A4,16,0.8230
altered_dorian_freylehs_kern,Beregovski_2001_120.krn,5.50111,m3,16,0.6709
freygish_freylekhs_kern,Beregovski_2001_100.krn,5.6597,A2,8,0.6399
freygish_freylekhs_kern,Beregovski_2001_102.krn,6.50082,m3,16,0.8454
freygish_freylekhs_kern,Beregovski_2001_103.krn,5.89672,m3,16,0.6442
freygish_freylekhs_kern,Beregovski_2001_104.krn,5.88205,A2,8,0.6994
freygish_freylekhs_kern,Beregovski_2001_86.krn,6.08599,P4,16,0.5121
freygish_freylekhs_kern,Beregovski_2001_87.krn,6.44077,A2,16,0.8150
freygish_freylekhs_kern,Beregovski_2001_88.krn,6.05334,M3,16,0.8305
freygish_freylekhs_kern,Beregovski_2001_89.krn,5.70524,M3,8,0.8718
freygish_freylekhs_kern,Beregovski_2001_90.krn,6.36767,A2,8,0.8096
freygish_freylekhs_kern,Beregovski_2001_91.krn,6.0356,A2,8,0.6526
freygish_freylekhs_kern,Beregovski_2001_92.krn,5.6814,M3,16,0.7754
freygish_freylekhs_kern,Beregovski_2001_93.krn,6.06412,P5,16,0.8704
freygish_freylekhs_kern,Beregovski_2001_94.krn,5.56939,m3,4,0.7547
freygish_freylekhs_kern,Beregovski_2001_95.krn,6.27461,A2,16,0.7613
freygish_freylekhs_kern,Beregovski_2001_96.krn,5.81854,P8,8,0.8313
freygish_freylekhs_kern,Beregovski_2001_97.krn,6.38984,A2,16,0.6872
freygish_freylekhs_kern,Beregovski_2001_98.krn,5.90434,A2,12,0.5587
freygish_freylekhs_kern,Beregovski_2001_99.krn,5.87549,A2,16,0.7716
