file	1 1	1 2	1 3	1 4	1 5	1 6	1 7	2 1	2 2	2 3	2 4	2 5	2 6	2 7	3 1	3 2	3 3	3 4	3 5	3 6	3 7	4 1	4 2	4 3	4 4	4 5	4 6	4 7	5 1	5 2	5 3	5 4	5 5	5 6	5 7	6 1	6 2	6 3	6 4	6 5	6 6	6 7	7 1	7 2	7 3	7 4	7 5	7 6	7 7
altered_dorian_Beregovsk_2001_112.krn	5.208	1.042	1.042	0	4.167	0	4.167	4.167	2.083	6.25	3.125	0	0	0	2.083	8.333	2.083	8.333	0	0	0	0	3.125	11.458	0	4.167	1.042	0	4.167	1.042	0	8.333	1.042	1.042	0	0	0	0	0	6.25	0	1.042	0	0	0	0	0	5.208	0
altered_dorian_Beregovski_2001_105.krn	3.704	2.963	0.741	0	2.963	0.741	2.963	4.444	0	2.222	0	0	0	0.741	1.481	3.704	1.481	2.963	2.222	0	2.222	0	0	7.407	0.741	2.222	3.704	0	2.963	0	1.481	9.63	1.481	5.185	0	0	0	0	0.741	10.37	1.481	4.444	1.481	0	0	0	2.963	5.926	2.222
altered_dorian_Beregovski_2001_106.krn	6.422	1.835	1.835	0	1.835	1.835	7.339	7.339	0	0.917	0.917	0	0	0	0.917	5.505	1.835	3.67	0.917	0	0	0	0	8.257	1.835	1.835	2.752	0	4.587	0	0	7.339	2.752	1.835	2.752	1.835	0	0	0.917	8.257	0	0	1.835	1.835	0	0	1.835	4.587	1.835
altered_dorian_Beregovski_2001_107.krn	3.896	5.195	1.299	0	2.597	0	2.597	3.896	0	6.494	0	0	0	0	0	5.195	3.896	5.195	5.195	0	0	0	0	7.792	0	2.597	3.896	0	5.195	0	1.299	9.091	3.896	1.299	1.299	0	0	0	0	7.792	0	2.597	2.597	0	0	0	0	5.195	0
altered_dorian_Beregovski_2001_108.krn	3.093	6.186	1.031	3.093	3.093	0	2.062	8.247	0	6.186	0	0	0	0	0	8.247	0	4.124	3.093	0	0	0	0	8.247	0	4.124	3.093	0	6.186	0	0	8.247	7.216	3.093	0	0	0	0	0	7.216	0	1.031	1.031	0	0	0	0	2.062	0
altered_dorian_Beregovski_2001_109.krn	1.198	2.395	2.994	1.796	5.389	0	3.593	10.18	0	2.994	0	0	0	0	0.599	10.18	0.599	2.395	2.994	0	0	0	0	5.389	0	2.395	3.593	0	4.192	0	4.79	7.186	4.192	0	1.796	1.796	0	0	0	7.186	1.198	0	0.599	0.599	0	0	0	5.389	2.395
altered_dorian_Beregovski_2001_110.krn	1.852	6.481	0	0.926	3.704	1.852	0	7.407	0	12.037	0.926	0	0	0	1.852	13.889	0	0.926	0.926	0	0	0	0	5.556	3.704	6.481	2.778	0	4.63	0	0	12.037	5.556	0.926	0	0	0	0	0	5.556	0	0	0	0	0	0	0	0	0
altered_dorian_Beregovski_2001_111.krn	3.361	0	2.521	0.84	2.521	2.521	6.723	4.202	0	3.361	0	0	0	0	3.361	6.723	3.361	2.521	0	1.681	0.84	1.681	0	3.361	8.403	0	1.681	0	0	0	1.681	5.042	0	3.361	0	1.681	0.84	1.681	0	5.042	5.042	4.202	4.202	0	0	0	2.521	5.042	0
altered_dorian_Beregovski_2001_113.krn	1.923	0.321	1.923	1.923	3.526	0.641	0.321	3.846	0.962	2.564	0.641	0	0	0	3.846	2.885	2.564	4.487	6.09	0.321	0	0	3.846	7.051	1.282	10.897	1.282	0	2.244	0	5.449	15.064	1.603	4.487	0	0	0	0	0	7.692	0	0	0.321	0	0	0	0	0	0
altered_dorian_Beregovski_2001_114.krn	3.534	4.24	0	1.413	4.594	0	0.707	6.007	1.413	6.007	0.707	0	0	0	2.827	6.36	2.473	2.12	3.534	0	0.353	0	0.707	8.127	1.06	7.067	1.06	0	2.473	0	1.06	12.721	3.887	1.06	3.18	0	0	0	0	3.534	0.707	1.06	0	1.413	0	0	1.413	2.473	0.707
