"pitches","durations"
"D5","0.7500"
"G5","0.2500"
"D5","0.7500"
"G5","0.2500"
"D5","0.7500"
"G5","0.2500"
"D5","2.0000"
"Bb4","1.0000"
"C5","0.2500"
"D5","0.2500"
"C5","0.5000"
"G4","1.0000"
"A4","0.5000"
"Bb4","0.5000"
"C5","0.2500"
"D5","0.2500"
"C5","0.5000"
"Bb4","1.0000"
"A4","0.5000"
"G4","0.5000"
"D5","0.7500"
"G5","0.2500"
"D5","0.7500"
"G5","0.2500"
"D5","0.7500"
"G5","0.2500"
"D5","2.0000"
"Bb4","1.0000"
"C5","0.5000"
"C5","0.5000"
"G4","1.0000"
"A4","0.5000"
"Bb4","0.5000"
"C5","1.5000"
"r","0.5000"
"Bb4","1.0000"
"A4","0.5000"
"Bb4","0.5000"
"C5","0.5000"
"Db5","0.5000"
"C5","0.5000"
"Bb4","0.5000"
"C5","2.0000"
"Bb4","1.0000"
"D5","0.5000"
"C5","0.5000"
"Bb4","1.0000"
"A4","1.0000"
"G4","0.7500"
"Bb4","0.2500"
"A4","0.7500"
"C5","0.2500"
"Bb4","0.5000"
"r","0.5000"
"A4","0.5000"
"Bb4","0.5000"
"C5","0.5000"
"Db5","0.5000"
"C5","0.5000"
"Bb4","0.5000"
"C5","2.0000"
"C5","1.0000"
"D5","0.7500"
"C5","0.2500"
"Bb4","1.0000"
"A4","1.0000"
"G4","2.0000"
"r","1.0000"
"D5","1.0000"
"G5","1.0000"
"F5","0.5000"
"Eb5","0.5000"
"D5","0.5000"
"Bb4","0.5000"
"C5","1.5000"
"G4","0.5000"
"C5","0.1250"
"D5","0.1250"
"C5","0.7500"
"Bb4","1.0000"
"A4","1.0000"
"G4","0.7500"
"Bb4","0.2500"
"A4","0.7500"
"C5","0.2500"
"Bb4","1.0000"
"D5","1.0000"
"G5","1.0000"
"F5","0.5000"
"Eb5","0.5000"
"D5","0.7500"
"Bb4","0.2500"
"C5","2.0000"
"C5","0.2500"
"D5","0.2500"
"C5","0.5000"
"Bb4","1.0000"
"A4","1.0000"
"G4","2.0000"
"r","1.0000"
"G4","1.0000"
"C5","1.0000"
"G4","0.5000"
"A4","0.5000"
"C5","0.5000"
"Bb4","1.5000"
"G4","0.5000"
"C5","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"C5","1.0000"
"Bb4","0.3333"
"A4","0.3333"
"G4","0.3333"
"G4","2.0000"
"D5","1.0000"
"D5","0.5000"
"Eb5","0.5000"
"F5","0.5000"
"G5","0.5000"
"F5","0.5000"
"Eb5","0.5000"
"D5","0.5000"
"C5","0.5000"
"F5","1.0000"
"Eb5","0.3333"
"D5","0.3333"
"Eb5","0.3333"
"D5","1.0000"
"D5","1.0000"
"G5","1.0000"
"G4","2.0000"
"D5","1.0000"
"D5","0.5000"
"Eb5","0.5000"
"F5","0.5000"
"G5","0.5000"
"F5","0.5000"
"Eb5","0.5000"
"D5","1.5000"
"Bb4","0.5000"
"C5","0.3333"
"D5","0.3333"
"Bb4","0.3333"
"F4","3.0000"
"F4","2.0000"
"F4","1.0000"
"Bb4","1.0000"
"C5","1.0000"
"F5","0.5000"
"D5","0.5000"
"C5","0.5000"
"D5","0.5000"
"C5","0.5000"
"Bb4","1.0000"
"A4","1.0000"
"G4","1.0000"
"G5","1.0000"
"D5","0.5000"
"Bb4","0.5000"
"G4","3.0000"
"G4","0.5000"
"G5","1.0000"
"G5","1.0000"
"G5","1.0000"
"G5","2.0000"
"F5","0.2500"
"Eb5","0.2500"
"D5","0.2500"
"Eb5","0.2500"
"D5","1.0000"
"D5","1.0000"
"G5","1.0000"
"G4","2.0000"
"D5","1.0000"
"G5","1.5000"
"F5","0.5000"
"F5","0.5000"
"Eb5","0.5000"
"F5","1.5000"
"Eb5","0.5000"
"Eb5","0.5000"
"D5","0.5000"
"C5","1.0000"
"D5","1.0000"
"F5","0.5000"
"Eb5","0.5000"
"C5","0.5000"
"D5","3.0000"
"D5","0.5000"
"F5","0.5000"
"Eb5","0.5000"
"F5","0.5000"
"D5","0.5000"
"C5","1.0000"
"Bb4","0.5000"
"C5","0.5000"
"D5","0.5000"
"Bb4","0.5000"
"G4","1.0000"
"F4","3.0000"
"E5","0.5000"
"F5","2.0000"
"Eb5","1.0000"
"D5","0.5000"
"F5","0.5000"
"Eb5","0.5000"
"D5","0.5000"
"C5","0.5000"
"Bb4","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"C5","1.0000"
"Ab4","1.0000"
"G4","1.0000"
"G5","1.0000"
"D5","0.5000"
"Bb4","0.5000"
"G4","3.0000"
"D5","1.0000"
"G5","2.0000"
"D5","1.0000"
"C5","2.0000"
"Bb4","1.0000"
"C5","0.3333"
"D5","0.3333"
"C5","0.3333"
"Bb4","1.0000"
"A4","1.0000"
"G4","2.0000"
"D4","1.0000"
"G4","1.0000"
"G4","1.0000"
"G4","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"Bb4","1.0000"
"Bb4","0.5000"
"C5","0.5000"
"D5","2.0000"
"F#5","1.0000"
"G5","2.0000"
"D5","1.0000"
"G5","2.0000"
"D5","1.0000"
"C5","2.0000"
"Bb4","1.0000"
"C5","0.3333"
"D5","0.3333"
"C5","0.3333"
"Bb4","1.0000"
"A4","1.0000"
"G4","2.0000"
"D4","1.0000"
"G4","1.5000"
"A4","0.5000"
"Bb4","0.5000"
"C5","0.5000"
"D5","1.5000"
"Bb4","0.5000"
"C5","0.5000"
"A4","0.5000"
"Bb4","1.5000"
"G4","0.5000"
"A4","0.5000"
"F#4","0.5000"
"G4","2.0000"
"D5","1.0000"
"G4","2.0000"
"F4","0.3333"
"E4","0.3333"
"F4","0.3333"
"D5","1.5000"
"C#5","0.5000"
"E5","0.5000"
"D5","0.5000"
"C#5","0.5000"
"D5","1.5000"
"C5","0.5000"
"Bb4","0.5000"
"A4","0.5000"
"G4","3.0000"
"G4","2.0000"
"D4","1.0000"
"G4","1.0000"
"G4","1.0000"
"G4","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"Bb4","1.0000"
"Bb4","0.5000"
"C5","0.5000"
"D5","2.0000"
"F#5","0.3333"
"D5","0.3333"
"F#5","0.3333"
"G5","2.0000"
"D5","1.0000"
"D6","1.5000"
"C#6","0.5000"
"D6","0.5000"
"C#6","0.5000"
"D6","1.5000"
"C6","0.5000"
"Bb5","0.5000"
"A5","0.5000"
"G5","3.0000"
"G5","2.0000"
"D5","1.0000"
"G5","1.5000"
"A5","0.5000"
"Bb5","0.5000"
"C6","0.5000"
"D6","1.5000"
"Bb5","0.5000"
"C6","0.5000"
"A5","0.5000"
"Bb5","1.5000"
"G5","0.5000"
"A5","0.5000"
"F#5","0.5000"
"G5","3.0000"
"G5","1.0000"
"G5","1.0000"
"G5","1.0000"
"Ab5","1.0000"
"G5","1.0000"
"F5","1.0000"
"Eb5","1.0000"
"D5","1.0000"
"F5","1.0000"
"C5","3.0000"
"F5","1.0000"
"F5","1.0000"
"F5","1.0000"
"F5","0.5000"
"G5","0.2500"
"F5","0.2500"
"Eb5","1.0000"
"D5","1.0000"
"C5","1.0000"
"Bb4","1.0000"
"D5","1.0000"
"C5","2.0000"
"Bb4","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"A4","1.0000"
"Bb4","1.0000"
"C5","1.0000"
"Db5","1.0000"
"E5","0.5000"
"F5","0.5000"
"G5","1.5000"
"F5","0.5000"
"E5","0.5000"
"Db5","0.5000"
"C5","2.0000"
"Bb4","0.5000"
"A4","0.5000"
"Bb4","1.0000"
"D5","1.0000"
"F5","0.3333"
"Eb5","0.3333"
"D5","0.3333"
"D5","1.0000"
