Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	Secondary modes	Modulation measures	One_Mode	Mode notes	Additional notes	Modulation Criteria
1	Dobriden	Minor	listening	Gurevich	recording	Voice	Odessa	1930	Bobruisk			D	Up P5		All minor	yes			
2	Dobriden	Freygish	listening	Bergelson, D.	transcription (Beregovski)	-	Kyiv	1937	Uman'			-	-		All freygish	yes			
3	Dobriden	Freygish	listening	Bakagan, G.	transcription (Barkagan)	Clarinet	Kalinindorf	1936	-			-			All freygish	yes			
4	Dobriden	Freygish	listening	Sakhnovsky, B.	manuscript notation	Violin	-	-	-			E	Down m3	C major (IV)	17–24	no			
5	Dobriden	Minor	listening	Barkagan, G	transcription (Barkagan)	Clarinet	Kalinindorf	-	-			E	Down m3		All minor	yes			
6	Dobranotsh	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Down P5	Bb major (III)	18–26	no			(1) we identify mode by section, when possible, (2) we document shifts at cadences when there is a return to a primary mode, but (3) when two modes in a section share the same pitch collection and cadence in the primary mode  (e.g., Bb major to G minor), we use the cadence as the guide, and (4) we include modal shifts within a section when they are between secondary modes with no single mode taking obvious precedent.
7	Dobranotsh	Minor	listening	Sakhonsky, B.	manuscript notation	Violin	Kalinindorf	-	-			G	-	Bb major (III)	17-32	no	New section identified starting in m. 33 based on the cadence in m. 32 and new melodic material from m. 33 to the end. The final section includes elements that suggest Bb major and G minor; it is identified as G minor based on the cadence (criteria 1 and 3).		
8	Mazltov (Dobranotsh)	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-			G	-	Bb major (III)	18–30	no			
10	Dobranotsh (mazltov)	Raised fourth	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-		All raised fourth	yes			
11	Dobranotsh	Minor	listening	Anonymous	transcription	-	-	-	-	-	-	A	Up M2		All minor	yes	The first section includes digressions to Bb major (III) (mm. 9–16), C minor (iv) (mm. 17–20), Bb major again (mm. 21–24), and Bb raised fourth (iii) or C freygish (IV) (mm. 25–28). The section as a whole is identified as G minor (criterion 1).		
12	Dobridyen'	Freygish	listening	Barkagan, G	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All freygish	yes	The first section emphasizes C minor a fair bit; there are cadences on C in mm. 4 and 12. The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
15	Freylekhs (tsu der khupe)	Freygish	listening	Slobodskoi, M.	recording	Clarinet	Brusilov, Kiev	1935		Kiev	Brusilov	C	Up P4	C major (IV)	37–54	no			
16	Freylekhs (fun der khupe)	Minor	listening	Barkagan, G	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-		All minor	yes	Measures 17–24 could be heard in Bb major (III). We analyzed them with the rest of the section in G minor (criteria 1 and 3). 		
19	Khtsos	Minor	listening	Anonymous	transcription	Violin	-	-	-	-	-	F#	Down m2		All minor	yes		This is only the latter section of the piece with a 2/4 time signature. The opening is in "Tempo rubato" with changing time signatures and frequent fermatas.	
20	Taksim	Raised fourth	listening	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G major	opening section ; 41–46	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
21	Doyne	Freygish	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	C raised fourth (iv)	16–27	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
22	Doyne	Raised fourth	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G major	opening section	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
23	Skotshne	Freygish	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	-	-		All freygish	yes			
24	Skotshne	Freygish	listening	Bergelson, D.	recording	Voice	Kiev	1931	Uman'	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
25	Skotshne	Freygish	listening	Roitenberg, D.	transcription	Violin	Moscow	1926	Belarus	-	-	-	-	C minor (iv); G minor	6–13; 14–25	no	Section B (mm. 6–13) identified as C minor (iv) based on measured melodic descent from G (m. 6) to C (m. 12). There is a brief shift to D freygish (V) at the cadence in mm. 12–13, but we kept these bars with the rest of the section (criterion 1). Section C (mm. 14–25) identified as G minor based on the cadence (criteria 1 and 3). 		
26	Skotshne	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C minor (iv)	28–42	no	Measures 38–40 briefly imply G freygish. The section begins with a C minor fanfare, and ends with a C minor cadence––we thus identified the section as a whole as C minor (iv) (criterion 1). 		
27	Skotshne	Freygish	listening	Shteingart, Ia.	recording	Clarinet	Podolia, Bogopol	1913	-	Podolia	Bogopol	-	-	C minor (iv); Bb major (III); C minor (iv); Bb major (III) 	18–21; 22–25; 26–29; 30–33	no	Measures 18–21 and 26–29 were identified as C minor (iv) and Bb major (III) respectively (criterion 4). See the similar situation in no. 30. 		
28	Freylekhs	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Up P4	C minor (iv); Bb major (III); C major (IV); C minor (iv)	10–13; 14–17; 26–37; 38–42	no			
29	Skotshne	Freygish	listening	Anonymous	transcription	-	-	-	-	-	-	G	-		All freygish	yes			
30	Freylekhs	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C minor (iv); Bb major (III)	10–13; 14–18	no	Measures 10–13 and 14–18 were identifed as C minor (iv) and Bb major (III) respectively (criterion 4). See the similar situation in no. 27.		
31	Freylekhs	Freygish	listening	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	C	Up P4	C minor (iv); F major (VII)	10–17; 18–23	no	Section B (mm. 10–17) includes elements of both G freygish and C minor (iv). The section is identified as C minor (iv) because of the emphasis on C at the beginning and the cadence on C (criterion 1).		
32	Skotshne	Freygish	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3	C major (IV); D freygish (V)	18–21; 22–26	no	Measures 18–21 and 22–26 were identifed as C major (IV) and D freygish (V) respectively (criterion 4). 		
33	Lekhaim	Freygish	listening	Magaziner, Ia. S.	transcription	Violin	Kiev	1937	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
34	Skotshne	Freygish	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	-	-	C minor (iv)	12–19	no			
35	Freylekhs	Freygish	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3		All freygish	yes	Measures 18–25 emphasize C minor (iv). The section as a whole is identified as G freygish (criteria 1 and 3).		
