"","bigram","n"
"1","D5_C#5",526
"2","E5_D5",344
"3","Bb4_A4",316
"4","C#5_Bb4",309
"5","C#5_D5",290
"6","A4_G4",244
"7","F5_E5",188
"8","A4_Bb4",158
"9","D5_D5",155
"10","D5_E5",144
"11","Bb4_D5",136
"12","Bb4_C#5",106
"13","C#5_E5",106
"14","G4_A4",98
"15","D5_G5",95
"16","G5_F5",89
"17","G4_Bb4",86
"18","G4_G4",84
"19","E5_F5",80
"20","G4_D5",64
"21","Bb4_G4",63
"22","G5_G5",63
"23","Bb4_Bb4",60
"24","D4_G4",59
"25","G4_D4",57
"26","D5_Bb4",51
"27","G5_D5",49
"28","F#5_G5",42
"29","G4_C#5",42
"30","D5_G4",36
"31","C#5_C#5",34
"32","C5_Bb4",34
"33","G4_G5",30
"34","G5_F#5",30
"35","D5_F5",29
"36","A5_G5",28
"37","F5_F5",26
"38","G4_F#4",23
"39","Bb5_A5",22
"40","A4_A4",21
"41","F#4_G4",19
"42","G5_A5",19
"43","F5_D5",18
"44","E5_G5",17
"45","F5_G5",17
"46","A5_Bb5",16
"47","G5_G4",16
"48","Bb4_C5",15
"49","A4_C5",14
"50","A4_C#5",13
"51","D5_C5",13
"52","E5_E5",13
"53","D6_C#6",12
"54","F#4_A4",12
"55","G4_F5",12
"56","E5_C#5",11
"57","C#6_D6",10
"58","C5_D5",10
"59","D4_Bb4",9
"60","B4_C5",8
"61","Bb4_E5",8
"62","D6_D6",8
"63","G4_E5",8
"64","G5_C#5",8
"65","G5_D4",8
"66","A4_D5",7
"67","C5_B4",7
"68","D5_A4",7
"69","D5_D4",7
"70","G4_G3",7
"71","B4_G4",6
"72","G4_B4",6
"73","C#5_A4",5
"74","C#6_Bb5",5
"75","C5_C5",5
"76","D4_D4",5
"77","D4_F#4",5
"78","D5_B4",5
"79","D5_Bb5",5
"80","D5_F#5",5
"81","E6_D6",5
"82","G5_Bb5",5
"83","G5_E5",5
"84","A4_F5",4
"85","B4_B4",4
"86","Bb4_F5",4
"87","C#4_D4",4
"88","D4_E4",4
"89","E5_F#5",4
"90","E6_F6",4
"91","F#4_D4",4
"92","F6_E6",4
"93","G3_D4",4
"94","G4_F4",4
"95","A5_F5",3
"96","B4_F5",3
"97","Bb5_E6",3
"98","Bb5_G5",3
"99","D4_C#4",3
"100","D5_Eb5",3
"101","D5_F#4",3
"102","E4_D4",3
"103","E4_F#4",3
"104","Eb5_D5",3
"105","G#5_F5",3
"106","G5_A4",3
"107","A3_Bb3",2
"108","A4_D4",2
"109","A5_A5",2
"110","A5_G#5",2
"111","Ab4_G4",2
"112","Bb5_D5",2
"113","Bb5_F#5",2
"114","D4_A3",2
"115","D4_C#5",2
"116","D4_D5",2
"117","D4_G3",2
"118","D6_E6",2
"119","E5_A5",2
"120","F4_Ab4",2
"121","F4_Bb4",2
"122","F4_E4",2
"123","F4_F4",2
"124","F5_G#5",2
"125","G#5_A5",2
"126","G3_C#5",2
"127","G3_D5",2
"128","G4_F#5",2
"129","A4_A5",1
"130","A5_A4",1
"131","A7_Bb4",1
"132","A7_C5",1
"133","A7_D4",1
"134","A7_D5",1
"135","B4_D5",1
"136","Bb3_D4",1
"137","Bb3_G3",1
"138","Bb4 Bb5_G3 D4 Bb4 G5",1
"139","Bb4 G5_Bb4 Bb5",1
"140","Bb4_A7",1
"141","Bb4_F#4",1
"142","Bb5_C#6",1
"143","Bb5_D6",1
"144","Bb5_G4",1
"145","C#5_G4",1
"146","C5_A7",1
"147","D3_D4",1
"148","D4_A4",1
"149","D4_Bb5",1
"150","D4_D3",1
"151","D4_Eb4",1
"152","D4_F4",1
"153","D5_A7",1
"154","D6_A5",1
"155","D6_Bb5",1
"156","E4_F4",1
"157","E5_G#5",1
"158","E7_D5",1
"159","Eb4_E4",1
"160","Eb5_A7",1
"161","F#5_A5",1
"162","F#5_Bb4 G5",1
"163","F5_A5",1
"164","F5_Bb5",1
"165","G3 D4 Bb4 G5_C#5",1
"166","G3 D4_G4",1
"167","G3_F#5",1
"168","G3_G5",1
"169","G4_A5",1
"170","G4_Bb5",1
"171","G4_C#4",1
"172","G4_C#6",1
"173","G4_C5",1
"174","G4_E7",1
"175","G4_Eb5",1
"176","G4_G3 D4",1
"177","G4_NA",1
"178","G5_C#6",1
