"","bigram","n"
"1","C5_Bb4",783
"2","D5_C5",677
"3","Bb4_A4",654
"4","A4_G4",477
"5","Bb4_C5",472
"6","Eb5_D5",450
"7","A4_Bb4",421
"8","G4_G4",390
"9","C5_D5",387
"10","Bb4_Bb4",319
"11","D5_D5",314
"12","Bb4_D5",269
"13","G4_A4",257
"14","C5_C5",242
"15","F5_Eb5",240
"16","G4_Bb4",233
"17","Bb4_G4",207
"18","D5_Eb5",200
"19","G5_G5",194
"20","D5_Bb4",165
"21","G5_F5",148
"22","G4_D4",130
"23","D4_G4",124
"24","D5_G5",121
"25","G5_D5",113
"26","D5_F5",102
"27","G4_C5",94
"28","F4_Bb4",93
"29","G4_D5",89
"30","A5_G5",88
"31","A4_A4",86
"32","G4_F4",78
"33","G4_G5",76
"34","F#4_G4",70
"35","A4_C5",64
"36","F5_G5",64
"37","G4_F#4",64
"38","C5_A4",63
"39","Bb5_A5",62
"40","F5_F5",62
"41","D5_C#5",59
"42","Eb5_F5",59
"43","F#5_G5",59
"44","Bb4_F4",57
"45","C5_Eb5",53
"46","G5_F#5",53
"47","D5_G4",52
"48","C5_G4",50
"49","C#5_D5",42
"50","Eb5_C5",42
"51","C5_F5",41
"52","F4_F4",41
"53","Ab4_G4",40
"54","F5_D5",38
"55","F4_G4",37
"56","Ab5_G5",36
"57","Eb5_Eb5",36
"58","F5_E5",36
"59","G5_A5",35
"60","G5_G4",35
"61","E5_F5",33
"62","Db5_C5",29
"63","D4_Bb4",28
"64","Bb4_Ab4",26
"65","F#4_A4",26
"66","A5_Bb5",25
"67","C#5_Bb4",25
"68","G5_Bb5",25
"69","Bb4_F5",23
"70","F#4_D4",23
"71","G4_Eb5",23
"72","D4_F#4",22
"73","G5_Ab5",22
"74","A4_F#4",21
"75","D4_D4",21
"76","A4_D5",20
"77","F5_C5",20
"78","D5_A4",18
"79","Bb4_C#5",17
"80","Bb5_Bb5",17
"81","D5_Bb5",17
"82","C5_Db5",16
"83","C5_G5",16
"84","G5_C5",16
"85","E5_D5",15
"86","F#5_Eb5",15
"87","F4_F5",15
"88","G4_G3",15
"89","G5_Eb5",15
"90","A5_A5",13
"91","Bb4_D4",13
"92","C5_B4",13
"93","Eb5_G5",13
"94","F#5_F#5",13
"95","D4_E4",12
